# ZENSE BCI Recording (Arduino UNO Classic)
# Experiment: JKFW
# Subject: DHA
# Note: UADH
# Start Time: 2026-03-08T00:55:48.636587
# Sample Rate: 256 Hz
# Channels: 2
# ADC Resolution: 10 bits
#
sample_index,timestamp_us,elapsed_ms,raw_ch0,raw_ch1,filtered_ch0,filtered_ch1
0,10055484,205.07,20.50,25.50,4.0299,4.8492
1,10059392,206.07,17.50,14.50,11.1716,12.7449
2,10063300,206.07,15.50,-4.50,16.0052,13.2226
3,10067208,206.07,14.50,-11.50,15.8096,2.7505
4,100744,206.07,-2.50,-9.50,11.2355,-7.9804
5,104652,206.07,3.50,4.50,3.8022,-10.1210
6,108560,206.07,2.50,15.50,-0.6316,-2.8279
7,112472,206.07,-0.50,11.50,-1.5614,6.8670
8,116380,206.07,-3.50,-8.50,-2.6215,8.5708
9,120288,206.07,-0.50,-7.50,-3.5515,1.0756
10,124196,206.07,0.50,11.50,-3.0060,-3.5461
11,128104,206.07,6.50,18.50,-1.0190,1.8471
12,132012,206.07,5.50,11.50,1.5672,9.3722
13,135920,207.07,5.50,-9.50,3.3194,8.6483
14,139832,207.07,2.50,-10.50,3.5068,-0.1246
15,143740,207.07,3.50,5.50,2.5788,-5.9489
16,147648,207.07,6.50,17.50,1.9711,-1.9395
17,151560,207.07,4.50,12.50,2.1508,5.9644
18,155468,207.07,2.50,-2.50,1.8803,8.3061
19,159376,207.07,-2.50,-10.50,0.3797,2.9589
20,163284,207.07,-3.50,3.50,-2.1922,-2.8685
21,167192,207.07,6.50,17.50,-3.0756,-1.4048
22,171100,207.07,5.50,15.50,-0.6284,5.2332
23,175008,207.07,2.50,-3.50,1.6042,7.8474
24,178916,208.06,1.50,-14.50,1.5679,2.1344
25,182824,208.06,0.50,-4.50,0.6219,-5.6028
26,186732,208.06,2.50,11.50,-0.3213,-6.6363
27,190640,208.06,1.50,14.50,-1.0621,-0.8006
28,194548,208.06,-3.50,0.50,-2.3363,4.3143
29,198456,208.06,-4.50,-14.50,-4.2330,2.3849
30,202368,208.06,-2.50,-10.50,-5.1290,-4.5177
31,206276,208.06,-1.50,8.50,-4.6935,-7.8369
32,210184,208.06,-2.50,11.50,-4.5002,-4.0604
33,214092,208.06,-4.50,-5.50,-5.2347,-0.2632
34,218004,208.06,-4.50,-18.50,-5.8591,-2.9279
35,221912,208.06,-0.50,-8.50,-4.9808,-7.9248
36,225820,209.07,-4.50,12.50,-3.8099,-7.0112
37,229728,209.07,-0.50,14.50,-4.0601,-0.3999
38,233636,209.07,-0.50,-3.50,-4.0643,3.1907
39,237548,209.07,-3.50,-18.50,-3.3073,-0.9167
40,241460,209.07,-0.50,-10.50,-2.7010,-7.1309
41,245368,209.07,-0.50,9.50,-2.0502,-7.4266
42,249276,209.07,-3.50,15.50,-2.4759,-1.7033
43,253184,209.07,2.50,-2.50,-3.2136,2.1777
44,257092,210.07,1.50,-16.50,-1.7880,-0.7065
45,261000,210.07,-2.50,-10.50,-0.2148,-5.6303
46,264908,210.07,1.50,7.50,-0.4037,-5.8749
47,268816,210.07,4.50,16.50,-0.2224,-1.2688
48,272724,210.07,0.50,-0.50,0.4313,2.1137
49,276632,210.07,-4.50,-16.50,-0.6776,-0.4535
50,280540,210.07,1.50,-17.50,-2.0706,-6.1429
51,284452,210.07,2.50,-0.50,-1.0706,-9.0757
52,288360,210.07,1.50,12.50,0.3582,-6.7602
53,292268,211.07,1.50,-1.50,0.2275,-3.1232
54,296176,211.07,-3.50,-19.50,-0.8794,-4.0449
55,300084,211.07,-2.50,-21.50,-2.2354,-8.6117
56,303996,211.07,-4.50,-4.50,-3.3465,-11.1300
57,307904,211.07,1.50,10.50,-3.7076,-8.6707
58,311812,211.07,-0.50,-0.50,-2.8983,-4.6778
59,315720,211.07,-3.50,-21.50,-2.3323,-5.1124
60,319628,211.07,-8.50,-23.50,-3.5634,-9.5024
61,323536,211.07,-3.50,-9.50,-5.2819,-12.1591
62,327444,212.06,-4.50,2.50,-5.7769,-11.1702
63,331352,212.06,-1.50,-5.50,-5.3683,-9.6583
64,335260,212.06,-8.50,-22.50,-5.2548,-10.5569
65,339168,212.06,-7.50,-28.50,-6.0586,-13.1862
66,343076,212.06,-7.50,-14.50,-6.7704,-14.5717
67,346984,212.06,-3.50,1.50,-6.5696,-12.8911
68,350892,213.06,-1.50,-6.50,-5.4258,-10.5209
69,354800,213.06,-3.50,-23.50,-3.8669,-11.1704
70,358708,213.06,-3.50,-32.50,-2.7306,-14.2247
71,362616,213.06,-4.50,-18.50,-2.2558,-16.0503
72,366524,213.06,-4.50,-4.50,-2.9001,-14.8847
73,370436,213.06,-0.50,-5.50,-3.7015,-12.7026
74,374344,213.06,-1.50,-24.50,-3.0531,-12.4656
75,378252,213.06,-6.50,-38.50,-2.2907,-15.3230
76,382160,213.06,-4.50,-34.50,-2.7112,-20.0037
77,386068,213.06,-6.50,-18.50,-3.7182,-23.5560
78,389980,214.06,-11.50,-7.50,-6.1411,-22.7064
79,393892,214.06,-17.50,-23.50,-10.5359,-18.3306
80,397800,214.06,-21.50,-45.50,-15.1540,-17.1764
81,401708,214.06,-27.50,-48.50,-19.0835,-22.8184
82,405616,214.06,-28.50,-40.50,-22.9075,-31.6301
83,409524,214.06,-32.50,-34.50,-26.6754,-38.2787
84,413432,214.06,-44.50,-52.50,-31.5033,-41.2685
85,417340,214.06,-48.50,-66.50,-37.6877,-43.0421
86,421248,215.06,-53.50,-65.50,-42.8903,-44.6600
87,425156,215.06,-53.50,-49.50,-46.2407,-45.3283
88,429064,215.06,-51.50,-46.50,-47.7467,-45.3652
89,432972,215.06,-49.50,-60.50,-46.8193,-46.3326
90,436884,215.06,-48.50,-73.50,-43.7762,-47.9705
91,440792,215.06,-50.50,-69.50,-40.5533,-47.9248
92,444700,215.06,-47.50,-49.50,-38.7687,-44.9710
93,448608,215.06,-44.50,-38.50,-37.5721,-40.1162
94,452516,215.06,-45.50,-47.50,-36.1646,-35.8752
95,456428,216.06,-39.50,-64.50,-33.7477,-34.1120
96,460336,216.06,-39.50,-63.50,-29.6229,-34.0337
97,464244,216.06,-40.50,-44.50,-26.3582,-32.8279
98,468152,216.06,-33.50,-29.50,-24.8440,-29.0581
99,472060,216.06,-31.50,-43.50,-22.5643,-25.6640
100,475968,277.63,-30.50,-60.50,-19.2462,-25.9425
101,479876,277.63,-30.50,-59.50,-16.2225,-27.3235
102,483784,277.63,-31.50,-41.50,-14.5655,-25.7702
103,487692,277.63,-29.50,-25.50,-14.4697,-21.4950
104,491600,277.63,-25.50,-34.50,-14.0959,-17.7319
105,495512,277.63,-26.50,-49.50,-12.2980,-16.5937
106,499420,277.63,-28.50,-52.50,-10.5328,-16.3205
107,503328,277.63,-25.50,-37.50,-9.4996,-14.8446
108,507236,277.63,-19.50,-20.50,-7.7083,-12.1388
109,511144,277.63,-21.50,-28.50,-5.3918,-9.9589
110,515052,277.63,-23.50,-44.50,-4.6133,-9.9911
111,518964,277.63,-24.50,-50.50,-5.0660,-10.7116
112,522876,277.63,-23.50,-33.50,-5.1566,-9.4987
113,526784,277.63,-20.50,-17.50,-4.5072,-6.2132
114,530692,277.63,-19.50,-19.50,-3.4854,-3.2655
115,534600,277.63,-18.50,-38.50,-2.2789,-2.6678
116,538508,277.63,-13.50,-45.50,0.1862,-3.5269
117,542420,277.63,-15.50,-29.50,3.5605,-2.7210
118,546328,277.63,-12.50,-13.50,5.4990,0.4509
119,550236,277.63,-14.50,-14.50,5.4721,2.9071
120,554144,277.63,-10.50,-32.50,5.1729,2.7495
121,558052,277.63,-17.50,-41.50,5.3076,1.4914
122,561960,277.63,-16.50,-29.50,4.6644,1.8245
123,565868,277.63,-14.50,-9.50,3.8725,4.5181
124,569776,277.63,-12.50,-7.50,4.1171,7.6131
125,573684,277.63,-19.50,-22.50,3.7929,9.0294
126,577592,277.63,-15.50,-34.50,2.6394,9.0746
127,581500,277.63,-19.50,-25.50,2.3785,9.4706
128,585412,277.63,-14.50,-5.50,2.8242,11.2153
129,589320,277.63,-11.50,-1.50,4.0050,13.3448
130,593228,277.63,-9.50,-17.50,6.1771,13.8455
131,597136,277.63,-13.50,-28.50,7.9031,13.2014
132,601044,277.63,-13.50,-11.50,8.1725,15.5069
133,604952,277.63,-15.50,18.50,7.2209,23.7027
134,608860,277.63,-6.50,33.50,6.8538,35.1294
135,612768,277.63,-10.50,23.50,8.1187,44.4281
136,616676,277.63,-13.50,5.50,8.6697,48.4476
137,620584,277.63,-13.50,11.50,7.8834,48.5771
138,624492,277.63,-10.50,28.50,7.7806,48.2341
139,628400,277.63,-8.50,38.50,8.6221,48.1632
140,632308,277.63,-9.50,24.50,9.2285,47.2839
141,636216,277.63,-6.50,5.50,9.8781,45.0695
142,640124,277.63,-12.50,2.50,10.7639,42.0389
143,644032,277.63,-9.50,20.50,10.6266,39.5268
144,647940,277.63,-3.50,33.50,10.8333,38.6363
145,651848,277.63,-4.50,19.50,12.3332,38.0507
146,655756,277.63,-4.50,0.50,13.5550,35.8406
147,659664,277.63,-6.50,-0.50,14.1568,33.5348
148,663572,277.63,-6.50,13.50,14.1877,32.6376
149,667480,277.63,-2.50,28.50,13.9598,32.2827
150,671388,277.63,1.50,23.50,14.7506,32.3463
151,675296,277.63,-4.50,1.50,15.8008,32.2292
152,679204,277.63,-7.50,-2.50,15.0513,31.1060
153,683112,277.63,-9.50,11.50,12.8775,30.0817
154,687020,277.63,-4.50,26.50,11.2364,29.5470
155,690928,277.63,-3.50,19.50,11.1675,28.4837
156,694836,277.63,-2.50,0.50,12.2005,26.5457
157,698744,277.63,-8.50,-4.50,12.9130,25.1926
158,702652,277.63,-2.50,7.50,13.2016,25.3724
159,706564,277.63,-3.50,24.50,13.9228,25.8284
160,710476,277.63,1.50,22.50,14.5775,25.7066
161,714384,277.63,-4.50,5.50,14.4759,25.3004
162,718292,277.63,1.50,-7.50,14.6039,24.5331
163,722200,277.63,-6.50,9.50,15.3212,24.1982
164,726108,356.70,-2.50,24.50,14.6939,25.1198
165,730016,356.70,-3.50,26.50,12.9581,25.7539
166,733924,356.70,0.50,10.50,12.2500,25.6574
167,737832,356.70,-3.50,-5.50,13.0190,25.0450
168,741740,356.70,-6.50,5.50,13.3706,23.8203
169,745648,356.70,-3.50,24.50,12.4867,23.3679
170,749556,356.70,-3.50,22.50,11.5303,22.8352
171,753464,356.70,-3.50,6.50,10.6921,20.5926
172,757372,356.70,-5.50,-7.50,10.1993,18.2873
173,761280,356.70,-3.50,0.50,10.7155,17.6276
174,765188,356.70,0.50,16.50,12.5005,17.7548
175,769096,356.70,-2.50,22.50,13.7333,17.2246
176,773008,356.70,-0.50,8.50,12.9920,16.3304
177,776916,362.43,-2.50,-4.50,12.1266,16.2824
178,780824,362.43,-4.50,-2.50,11.9761,16.8799
179,784732,362.43,-4.50,17.50,11.5149,17.1789
180,788640,362.43,0.50,24.50,11.1305,17.0916
181,792548,362.43,-4.50,11.50,10.8305,16.4915
182,796456,362.43,-1.50,-2.50,10.2648,16.0015
183,800364,362.43,-5.50,-0.50,10.3098,16.6301
184,804272,362.43,-1.50,12.50,10.8294,16.8662
185,808180,362.43,-0.50,23.50,11.3813,15.3711
186,812088,403.84,0.50,10.50,11.6947,13.2521
187,815996,403.84,-1.50,-4.50,11.6312,11.8127
188,819904,403.84,-2.50,-2.50,11.5681,12.2467
189,823812,403.84,3.50,13.50,12.4669,14.0792
190,827720,403.84,1.50,23.50,13.9768,14.8035
191,831628,403.84,-0.50,15.50,13.5448,13.7548
192,835536,403.84,-0.50,-7.50,11.6358,11.6277
193,839444,403.84,-0.50,-8.50,10.9887,9.3118
194,843352,403.84,5.50,9.50,12.5911,8.8954
195,847260,403.84,2.50,21.50,14.6437,10.0137
196,851168,403.84,3.50,10.50,14.5937,9.4464
197,855076,403.84,4.50,-7.50,13.7602,6.7594
198,858984,403.84,1.50,-10.50,13.8313,5.0400
199,862892,417.20,-0.50,4.50,13.3765,5.7836
200,866800,467.02,-4.50,10.50,10.9466,5.7014
201,870708,467.02,0.50,14.50,8.0193,3.7041
202,874616,467.02,13.50,16.50,9.6263,6.7741
203,878524,467.02,26.50,19.50,18.6708,18.2871
204,882432,467.02,33.50,42.50,31.2162,32.3408
205,886340,467.02,48.50,67.50,42.7826,44.1492
206,890248,467.02,54.50,67.50,52.5780,52.1154
207,894156,467.02,70.50,70.50,61.5736,58.4335
208,898064,467.02,82.50,67.50,72.0792,67.2005
209,901976,467.02,85.50,86.50,82.5702,76.7315
210,905884,467.02,91.50,121.50,89.2118,86.3151
211,909792,467.02,109.50,134.50,94.7178,98.0419
212,913700,467.02,114.50,124.50,102.5041,109.0403
213,917608,525.72,119.50,106.50,109.7148,113.9912
214,921516,525.72,123.50,130.50,114.2206,114.6066
215,925424,526.72,132.50,165.50,117.7682,119.7395
216,929332,526.72,141.50,168.50,122.2069,129.1116
217,933240,526.72,149.50,149.50,127.5711,133.3529
218,937148,526.72,144.50,143.50,131.1024,131.9712
219,941060,526.72,139.50,140.50,129.6192,129.3402
220,944968,526.72,147.50,155.50,125.8372,124.4543
221,948876,526.72,153.50,171.50,125.0752,119.7524
222,952784,526.72,146.50,149.50,125.2039,117.8373
223,956692,527.73,134.50,127.50,120.2624,114.0305
224,960600,527.73,141.50,124.50,112.7314,106.5339
225,964512,527.73,134.50,131.50,108.0296,97.0714
226,968420,527.73,135.50,131.50,104.2654,85.9792
227,972328,527.73,131.50,113.50,99.4226,74.7381
228,976236,576.17,115.50,88.50,92.2214,64.9185
229,980144,576.17,114.50,83.50,82.7008,56.4598
230,984052,576.17,106.50,113.50,74.2496,52.1114
231,987960,576.17,102.50,114.50,66.7188,52.2141
232,991868,576.17,96.50,98.50,58.8029,49.8606
233,995776,576.17,84.50,84.50,50.2800,44.6330
234,999684,576.17,88.50,80.50,42.9494,41.5587
235,1003592,576.17,71.50,86.50,37.2549,38.5136
236,1007500,576.17,76.50,98.50,30.5894,32.7197
237,1011408,576.17,60.50,79.50,22.8582,25.4892
238,1015316,576.17,55.50,63.50,13.9288,18.6034
239,1019224,576.17,47.50,62.50,5.3087,15.3243
240,1023132,576.17,57.50,78.50,1.0324,16.1608
241,1027040,576.17,47.50,92.50,0.2863,17.5172
242,1030952,632.33,34.50,76.50,-4.1304,15.7416
243,1034860,632.33,28.50,51.50,-13.7007,9.3413
244,1038768,632.33,24.50,36.50,-22.1665,0.5368
245,1042676,632.33,22.50,52.50,-26.9079,-6.7297
246,1046584,632.33,18.50,59.50,-30.0837,-11.3187
247,1050492,632.33,15.50,45.50,-33.6538,-16.9650
248,1054400,632.33,11.50,25.50,-37.1767,-24.4924
249,1058312,632.33,0.50,18.50,-41.0901,-29.3883
250,1062220,632.33,-5.50,24.50,-47.0004,-31.1487
251,1066128,632.33,-6.50,36.50,-53.4135,-33.6981
252,1070036,632.33,-9.50,27.50,-57.9378,-38.7002
253,1073948,633.34,-10.50,5.50,-60.2212,-44.9363
254,1077856,633.34,-15.50,-12.50,-61.0845,-50.9880
255,1081764,694.04,-16.50,-8.50,-61.8830,-56.8020
256,1085676,695.54,-25.50,13.50,-64.4196,-60.9289
257,1089588,695.54,-20.50,10.50,-68.1949,-62.0175
258,1093500,695.54,-19.50,-14.50,-69.2553,-63.5473
259,1097408,696.53,-24.50,-25.50,-67.7290,-66.7939
260,1101316,696.53,-24.50,-25.50,-66.8857,-69.6971
261,1105228,696.53,-14.50,-9.50,-65.2404,-72.8158
262,1109136,696.53,-28.50,-6.50,-63.6247,-75.7606
263,1113044,696.53,-22.50,-24.50,-65.0631,-77.3867
264,1116956,696.53,-30.50,-43.50,-66.9572,-78.7051
265,1120864,696.53,-32.50,-46.50,-68.3784,-81.5218
266,1124772,696.53,-29.50,-21.50,-69.5003,-84.4573
267,1128680,696.53,-25.50,-22.50,-68.4865,-85.3856
268,1132592,696.53,-24.50,-40.50,-65.6706,-86.8791
269,1136500,696.53,-31.50,-62.50,-63.6650,-90.2779
270,1140412,696.53,-33.50,-51.50,-64.2555,-92.0238
271,1144320,761.78,-32.50,-30.50,-65.7397,-89.1950
272,1148228,761.78,-25.50,-27.50,-65.2871,-85.4550
273,1152136,761.78,-26.50,-30.50,-62.6002,-83.4578
274,1156044,761.78,-29.50,-57.50,-60.2082,-81.8483
275,1159952,761.78,-25.50,-56.50,-58.4803,-81.9589
276,1163860,761.78,-25.50,-38.50,-56.1407,-82.8543
277,1167768,761.78,-28.50,-25.50,-55.1041,-82.2598
278,1171676,761.78,-27.50,-42.50,-56.2006,-81.7637
279,1175584,761.78,-25.50,-56.50,-56.3165,-82.1033
280,1179492,761.78,-20.50,-65.50,-53.1463,-82.1585
281,1183404,763.78,-17.50,-46.50,-47.8878,-82.3055
282,1187312,763.78,-23.50,-35.50,-44.8113,-82.4802
283,1191220,763.78,-17.50,-51.50,-45.0045,-83.7573
284,1195128,763.78,-17.50,-69.50,-44.3836,-86.5630
285,1199036,763.78,-13.50,-74.50,-41.3321,-87.8167
286,1202944,763.78,-24.50,-45.50,-39.4522,-84.5524
287,1206852,763.78,-24.50,-40.50,-41.8573,-79.0409
288,1210760,815.35,-24.50,-42.50,-45.4808,-76.6659
289,1214668,815.35,-15.50,-68.50,-45.2137,-77.3523
290,1218576,815.35,-25.50,-78.50,-42.2224,-79.3614
291,1222488,815.35,-16.50,-59.50,-40.0868,-80.6145
292,1226396,815.35,-10.50,-45.50,-36.7545,-79.4515
293,1230304,815.35,-15.50,-28.50,-32.7906,-74.7164
294,1234212,815.35,-20.50,-67.50,-32.7993,-68.7682
295,1238120,815.35,-3.50,-73.50,-32.6996,-68.2194
